;1;2;3;4;5;6;7;8;9;10
A;;A7-D9;C3-D6 amarilla;D1-A7;D1-G5 rosa;F1-C11;F1-F11;G3-C7;H2-C3;B10-E10 (2)
B;A7-A7;A7-F8;C3-D6 blanca;D1-A9;E7-E5;F1-D10;F1-G7;G3-E2;H2-C5;gF113-APA752-1:100
C;A7-A11;B10-E10 (1);C3-D8;D1-A10;E7-G6;F1-E7;F1-G10;G3-F2;H2-E3;gF113-APA766-1:100
D;A7-C2;C3-A4;C3-D9;D1-B4;F1-B5;F1-E8;F1-G11;H2-A5;H2-E11;
E;A7-C7;C3-A10;C3-E2;D1-B9;F1-B6;F1-E9;G3-B1;H2-B2;H2-E12;
F;A7-C10;C3-B8*;C3-F5;D1-D2;F1-B7*;F1-E11;G3-B6;H2-B4;H2-F4;
G;A7-D7;C3-B10*;C3-H5;D1-G4;F1-B11;F1-F7;G3-C2;H2-B9;H2-G9;
H;;C3-D1;D1-A5;D1-G5 blanca;F1-C8;F1-F8;G3-C3;H2-B12;H2-H5;
